id,numero,tipo,titulo,resumo,ano,cidade,categoria,fonte,url_oficial,texto_integral,data_publicacao,situacao,slug
7764d9d06f6d89ec,000178703,Livro,"A atividade judicial do Tribunal da relação do Rio de Janeiro, 1751-1808",,1996,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1996;000178703,,,vigente,000178703-a-atividade-judicial-do-tribunal-da-relacao-do-rio-de-janeiro-1751-1808
271a61c25f53f09b,1550916-7289911,Acordao;Are,ARE 1550916 AgR / RJ - RIO DE JANEIRO,,2025,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;are:2025-08-12;1550916-7289911,,,vigente,1550916-7289911-are-1550916-agr-rj-rio-de-janeiro
5cd570b924a9d676,6368-,Acordao;Rms,RMS 6368 / RJ - RIO DE JANEIRO,,1959,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;rms:1959-01-19;6368-,,,vigente,6368-rms-6368-rj-rio-de-janeiro
1b734804cb222390,1487482-6929696,Acordao;Are,ARE 1487482 AgR / RJ - RIO DE JANEIRO,,2024,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;are:2024-12-09;1487482-6929696,,,vigente,1487482-6929696-are-1487482-agr-rj-rio-de-janeiro
362e8f187d02bd27,000654790,Livro,Falla apresentada à Assembléa Legislativa Provincial do Rio de Janeiro na segunda sessão da decima-quinta legislatura no dia 15 de outubro de 1865,,1865,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1865;000654790,,,vigente,000654790-falla-apresentada-a-assemblea-legislativa-provincial-do-rio-de-janeiro-na-segunda-sessao-da-decima-quinta-legi
80f2e0c20c032d59,000654840,Livro,[Falla dirigida à Assembléa Legislativa Provincial do Rio de Janeiro pelo Presidente da Provincia Dr. Paulino José Soares de Sousa em 18 de outubro de 1836),,1836,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1836;000654840,,,vigente,000654840-falla-dirigida-a-assemblea-legislativa-provincial-do-rio-de-janeiro-pelo-presidente-da-provincia-dr-paulino-jo
0979ae7e7b704cad,110584-,Acordao;Re,RE 110584 / RJ - RIO DE JANEIRO,,1986,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;turma.1:acordao;re:1986-11-14;110584-,,,vigente,110584-re-110584-rj-rio-de-janeiro
b99c59af357f1a2a,635-5816502,Acordao;Adpf,ADPF 635 / RJ - RIO DE JANEIRO,,2025,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adpf:2025-04-03;635-5816502,,,vigente,635-5816502-adpf-635-rj-rio-de-janeiro
9bae94319a115f3c,1029-6520487,Acordao;Adpf,ADPF 1029 / RJ - RIO DE JANEIRO,,2025,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adpf:2025-03-26;1029-6520487,,,vigente,1029-6520487-adpf-1029-rj-rio-de-janeiro
4fb5e670da37f025,6001-6567583,Acordao;Adi,ADI 6001 AgR / RJ - RIO DE JANEIRO,,2025,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2025-08-12;6001-6567583,,,vigente,6001-6567583-adi-6001-agr-rj-rio-de-janeiro
3ccfded974c22e90,1186735-5622808,Acordao;Re,RE 1186735 / RJ - RIO DE JANEIRO,,2023,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;re:2023-04-25;1186735-5622808,,,vigente,1186735-5622808-re-1186735-rj-rio-de-janeiro
550044d0361d8b2e,86599-,Acordao;Re,RE 86599 / RJ - RIO DE JANEIRO,,1980,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;re:1980-11-19;86599-,,,vigente,86599-re-86599-rj-rio-de-janeiro
c564ca6372763a39,2080-1781685,Acordao;Adi,ADI 2080 / RJ - RIO DE JANEIRO,,2019,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2019-10-18;2080-1781685,,,vigente,2080-1781685-adi-2080-rj-rio-de-janeiro
6ecaffc3baee252d,968-1443861,Acordao;Rp,Rp 968 / RJ - RIO DE JANEIRO,,1979,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;rp:1979-11-21;968-1443861,,,vigente,968-1443861-rp-968-rj-rio-de-janeiro
b9a245ef43dbcd16,1459979-6804101,Acordao;Are,ARE 1459979 AgR / RJ - RIO DE JANEIRO,,2023,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;turma.1:acordao;are:2023-12-19;1459979-6804101,,,vigente,1459979-6804101-are-1459979-agr-rj-rio-de-janeiro
beb007e7d5948d42,115728-1473338,Acordao;Re,RE 115728 / RJ - RIO DE JANEIRO,,2004,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;turma.1:acordao;re:2004-04-06;115728-1473338,,,vigente,115728-1473338-re-115728-rj-rio-de-janeiro
3de36083d22a6a61,981876-5037342,Acordao;Re,RE 981876 AgR / RJ - RIO DE JANEIRO,,2016,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;turma.2:acordao;re:2016-09-30;981876-5037342,,,vigente,981876-5037342-re-981876-agr-rj-rio-de-janeiro
13c5c4079a40c817,4579-5902761,Acordao;Adi,ADI 4579 ED / RJ - RIO DE JANEIRO,,2020,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2020-06-22;4579-5902761,,,vigente,4579-5902761-adi-4579-ed-rj-rio-de-janeiro
